name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers
Dark and Darker,07-06-2024,2640903,0.0,8706135.0,31.97402719520565,74,Indie,IRONMACE,IRONMACE
Lust Goddess,21-02-2024,456707,0.0,9695496.0,33.54434298588976,48,Indie,BRAWEA LTD,BRAWEA LTD
Summoners War,07-01-2024,540801,0.0,10787342.0,112.85633956732288,0,Indie,Com2uS,Com2uS
Firestone: Online Idle RPG,01-04-2024,335093,0.0,15689364.148647271,296.3328524525871,79,Indie,Holyday Studios,Holyday Studios
Viking Rise: Valhalla,21-05-2024,20537,0.0,259513.0,36.62029672226122,75,Indie,IGG SINGAPORE PTE. LTD.,IGG SINGAPORE PTE. LTD.
LoveCraft,09-04-2024,17668,0.0,382551.0,61.80570131947321,79,Indie,WEALTHBIRD,WEALTHBIRD
Banana,23-04-2024,30739148,0.0,312915.8051949718,26.142053584290064,85,Indie,Sky,"Sky,AestheticSpartan,O'Brian"
Idle Hero TD - Tower Defense,03-05-2024,13061,0.0,235863.0,189.0570113996993,79,Indie,Swell Games LLC,Swell Games LLC
Grim Clicker,30-01-2024,274957,0.0,355113.9777668873,122.75703853781792,80,Indie,"EvilCharm Games,Aleksandr Golovkin",EvilCharm Games
Sacred X：Heavens Wonderland,09-05-2024,33358,0.0,311127.0,15.218051665922731,77,Indie,Sacred X：Heavens Wonderland,Sacred X：Heavens Wonderland
Aeons Echo,22-08-2024,59501,0.0,853013.0,6.800604003855153,83,Indie,Nutaku Publishing,Aeons Studio
Perfect World M,22-02-2024,3768,0.0,825766.0,46.92903887910011,33,Indie,PERFECT WORLD GAMES,PERFECT WORLD GAMES
Spectre Divide,03-09-2024,584912,0.0,515874.0,3.7906067463564392,53,Indie,Mountaintop Studios,Mountaintop Studios
Supermarket Together,09-08-2024,2085116,0.0,554295.9124042441,6.334958879516334,0,Indie,DeadDevsTellNoLies,DeadDevsTellNoLies
Kalpa of Sword,31-01-2024,207970,0.0,606780.0,28.111487732646168,0,Indie,Orienjoy,孤帆工作室
Mahjong Soul,23-07-2024,50514,0.0,404777.0,13.097029411695926,92,Indie,YOSTAR HONG KONG LIMITED,Catfood Studio
Dominion,01-02-2024,503990,0.0,1405649.3985145492,7.017822187752444,86,Indie,Temple Gates Games,Temple Gates Games
Starward,24-04-2024,79112,0.0,1395292.0,27.231980923461883,68,Indie,盛天游戏,Game Blender
RAID: Shadow Legends,09-01-2024,72044,0.0,1293328.0,63.45711110030624,55,Indie,Plarium Global Ltd,Plarium Global Ltd
Slapshot: Rebound,11-04-2024,965211,0.0,1250580.7988945069,10.891994725125729,84,Indie,Oddshot Games,Oddshot Games
Project QT,16-01-2024,26716,0.0,1036107.0,105.6310151724434,63,Indie,Nutaku Publishing,xDNA
Metal Slug: Awakening,19-07-2024,141042,0.0,751373.0,12.47894042688811,60,Indie,HAOPLAY Limited,Tencent
Destiny Online,30-03-2024,3047,0.0,24986.0,128.7942781499453,82,Indie,Destiny10.com,Destiny10.com
GraalOnline Era,16-02-2024,21644,0.0,22299.0,41.29361977737224,71,Indie,Toonslab,GraalOnline
Kepler-2100,30-03-2024,14511,0.0,21880.59479904341,11.962925149409008,85,Indie,NCARD,NCARD
江湖客栈-The Jianghu,31-08-2024,51896,0.0,205131.0,260.3405090672399,61,Indie,Path,『風林火山』工作室
Stormgate,30-07-2024,224772,0.0,1459213.0,7.341805458780237,52,Indie,Frost Giant Studios,Frost Giant Studios
