name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers
Dark and Darker,07-06-2024,0.0858922304379943,0.0,0.2516793037394148,31.97402719520565,74,Indie,IRONMACE,IRONMACE
Lust Goddess,21-02-2024,0.0148347485971798,0.0,0.2803482589515488,33.54434298588976,48,Indie,BRAWEA LTD,BRAWEA LTD
Summoners War,07-01-2024,0.0175705414829471,0.0,0.3119869470265262,112.85633956732288,0,Indie,Com2uS,Com2uS
Firestone: Online Idle RPG,01-04-2024,0.0108783341560817,0.0,0.4540340394715058,296.3328524525871,79,Indie,Holyday Studios,Holyday Studios
Viking Rise: Valhalla,21-05-2024,0.000645023016459,0.0,0.0069194761215627,36.62029672226122,75,Indie,IGG SINGAPORE PTE. LTD.,IGG SINGAPORE PTE. LTD.
LoveCraft,09-04-2024,0.0005516871091497,0.0,0.010484778282645,61.80570131947321,79,Indie,WEALTHBIRD,WEALTHBIRD
Banana,23-04-2024,1.0000000000000002,0.0,0.0084669422439761,26.142053584290064,85,Indie,Sky,"Sky,AestheticSpartan,O'Brian"
Idle Hero TD - Tower Defense,03-05-2024,0.0004018096170013,0.0,0.0062341642983082,189.0570113996993,79,Indie,Swell Games LLC,Swell Games LLC
Grim Clicker,30-01-2024,0.0089219562815781,0.0,0.0096897289916831,122.75703853781792,80,Indie,"EvilCharm Games,Aleksandr Golovkin",EvilCharm Games
Sacred X：Heavens Wonderland,09-05-2024,0.0010621229354595,0.0,0.0084151075991721,15.218051665922731,77,Indie,Sacred X：Heavens Wonderland,Sacred X：Heavens Wonderland
Aeons Echo,22-08-2024,0.0019126215847402,0.0,0.0241174705021797,6.800604003855153,83,Indie,Nutaku Publishing,Aeons Studio
Perfect World M,22-02-2024,9.948456066635527e-05,0.0,0.0233279275318533,46.92903887910011,33,Indie,PERFECT WORLD GAMES,PERFECT WORLD GAMES
Spectre Divide,03-09-2024,0.019005585124397,0.0,0.0143481113994218,3.7906067463564392,53,Indie,Mountaintop Studios,Mountaintop Studios
Supermarket Together,09-08-2024,0.0678110579333927,0.0,0.0154614725344188,6.334958879516334,0,Indie,DeadDevsTellNoLies,DeadDevsTellNoLies
Kalpa of Sword,31-01-2024,0.0067426978560198,0.0,0.0169823167526894,28.111487732646168,0,Indie,Orienjoy,孤帆工作室
Mahjong Soul,23-07-2024,0.0016202514909833,0.0,0.0111288265102838,13.097029411695926,92,Indie,YOSTAR HONG KONG LIMITED,Catfood Studio
Dominion,01-02-2024,0.0163729855108447,0.0,0.0401313503272472,7.017822187752444,86,Indie,Temple Gates Games,Temple Gates Games
Starward,24-04-2024,0.0025506175687912,0.0,0.0398312214621233,27.231980923461883,68,Indie,盛天游戏,Game Blender
RAID: Shadow Legends,09-01-2024,0.002320677452771,0.0,0.0368765857434624,63.45711110030624,55,Indie,Plarium Global Ltd,Plarium Global Ltd
Slapshot: Rebound,11-04-2024,0.0313776841881165,0.0,0.0356378896619134,10.891994725125729,84,Indie,Oddshot Games,Oddshot Games
Project QT,16-01-2024,0.0008460416889108,0.0,0.0294230300356669,105.6310151724434,63,Indie,Nutaku Publishing,xDNA
Metal Slug: Awakening,19-07-2024,0.0045653588513508,0.0,0.0211722234106112,12.47894042688811,60,Indie,HAOPLAY Limited,Tencent
Destiny Online,30-03-2024,7.602858674861748e-05,0.0,0.0001235299916504,128.7942781499453,82,Indie,Destiny10.com,Destiny10.com
GraalOnline Era,16-02-2024,0.0006810365575505,0.0,4.566813672089677e-05,41.29361977737224,71,Indie,Toonslab,GraalOnline
Kepler-2100,30-03-2024,0.0004489818252963,0.0,3.354390707494513e-05,11.962925149409008,85,Indie,NCARD,NCARD
江湖客栈-The Jianghu,31-08-2024,0.0016652114853721,0.0,0.0053436356322507,260.3405090672399,61,Indie,Path,『風林火山』工作室
Stormgate,30-07-2024,0.0072893098862082,0.0,0.0416834758830221,7.341805458780237,52,Indie,Frost Giant Studios,Frost Giant Studios
HAWKED,15-02-2024,0.0052668909200916,0.0,0.0058129221006485,11.438980059315815,55,Indie,"MY.GAMES,The 4 Winds Entertainment (MENA and Turkey)",MY.GAMES
Town of Sins,25-03-2024,0.0023534702706754,0.0,0.0446078593588297,17.596491244347778,57,Indie,Nutaku Publishing,Hooligapps
Astral Party ,28-02-2024,0.0184172338230068,0.0,0.0497406565629198,17.734904098734024,51,Indie,Neverland Entertainment,STAR ENGINE PROJECT
Dungeonborne,18-07-2024,0.0364528607471856,0.0,0.0502221134738447,24.476678329900466,66,Indie,Mithril Interactive,Mithril Interactive
Farmer Against Potatoes Idle,05-09-2024,0.007620361190767,0.0,0.0328366626479704,256.3350027720608,96,Indie,Oni Gaming,Oni Gaming
Rumble Club,23-04-2024,0.0010823581861902,0.0,0.0001066072810889,9.2343461987409,75,Indie,Mad Mushroom,"Lightfox Games, Inc."
Sarah's Adventure: Time Travel,25-06-2024,0.0008959791645886,0.0,6.356453463268069e-05,59.72976019596694,87,Indie,NUTS POWER ONLINE ENTERTAINMENT LIMITED,NUTS POWER ONLINE ENTERTAINMENT LIMITED
"Warhammer 40,000: Speed Freeks",06-08-2024,0.0033233634057787,0.0,0.0039805170919666,5.651413836213646,0,Indie,PLAION,Caged Element Inc.
Sneak Out,06-06-2024,0.0074844726983199,0.0,0.0006425124337007,7.538281877465217,57,Indie,Kinguin,Kinguin Studios
Xanadu Land,17-01-2024,0.0008492624120978,0.0,0.0008471207543773,14.049678382618964,82,Indie,whiteisle Studio,whiteisle Studio
混沌战域,09-05-2024,0.0006230635401837,0.0,0.0008317917922419,6.1341746240734505,75,Indie,XQ-game,XQ-game
BATTLE CRUSH,26-06-2024,0.0020102843221896,0.0,0.0008236491866464,16.5554219119682,49,Indie,NCSOFT Corporation,NCSOFT Corporation
Echocalypse: The Scarlet Covenant,07-06-2024,0.0002274351090969,0.0,0.0005509153650619,8.64651914648372,54,Indie,Yoozoo (Singapore) Pte. Ltd,Yoozoo (Singapore) Pte. Ltd
飄流幻境M,25-06-2024,0.0004031109192991,0.0,0.0003450610228886,42.33954376230544,74,Indie,Chinesegamer,Chinesegamer
修仙神诀,27-06-2024,0.0003968646682697,0.0,0.000555319906167,12.383104587172468,74,Indie,雷鸣工作室,雷鸣工作室
Figure Adventure,24-06-2024,0.0010062645343266,0.0,0.0047528475792902,12.205608791220538,0,Indie,Figure Fantasy,Figure Fantasy
Monster Tiles TD: Tower Wars,11-02-2024,0.0008198855127251,0.0,0.0002925832338013,23.330226717446127,80,Indie,Swell Games LLC,Swell Games LLC
战国女神,19-01-2024,0.0001360186226769,0.0,0.0002442491906221,39.16769978517894,73,Indie,战国女神,战国女神
奕剑江湖,06-08-2024,0.0020586277025527,0.0,0.0002121424041457,10.34215016430438,85,Indie,Star-Star Studio,Star-Star Studio
戦国ブシドー〜大野望の巻〜,16-07-2024,0.0001899576029204,0.0,0.0001418436099294,3.397036159430714,50,Indie,©︎ Kaiser (Overseas) Limited,©︎ Kaiser (Overseas) Limited
Speedway Challenge 2024,01-04-2024,0.0005864644130583,0.0,0.0001696907415213,17.326728582072302,71,Indie,Artur Berkowski Berobasket,Artur Berkowski Berobasket
飛天歷險2024(Dream Of Mirror Online),18-06-2024,0.0001404430504894,0.0,0.0005242273232346,53.80585097088608,86,Indie,Hong Kong GameStar Limited,SOFTSTAR ENTERTAINMENT
Idle Heros,01-05-2024,0.0005848703177435,0.0,0.0005953664575301,74.30369938660196,85,Indie,EGAME,EGAME
全民街篮,30-05-2024,0.0009991399042462,0.0,0.002093721796086,11.40682578170852,76,Indie,深圳市中手游网络科技有限公司,上海洲竞网络科技有限公司
云岚九歌,01-02-2024,0.0002610412409374,0.0,0.0028948556640573,53.76316775277071,83,Indie,云岚九歌,云岚九歌
ASTRA: Knights of Veda,01-04-2024,0.0054453970627915,0.0,0.0706868864466996,50.12468120096058,42,Indie,HYBE IM,FLINT
失乐星图Nornium,09-08-2024,0.0021745412047287,0.0,0.0011626539655155,2.1780584672619385,15,Indie,Flaring Cloister,Flaring Cloister
Mad World  - Age of Darkness - MMORPG,25-01-2024,0.0005149903843519,0.0,0.0011884726900195,19.2830024831735,46,Indie,Jandisoft,Jandisoft
Der Königsruf,05-05-2024,0.0,0.0,0.0012327209417789,26.27006411419708,57,Indie,Starlight Games,Starlight Games
Shop Legends,03-02-2024,0.0001356932971024,0.0,0.0036168526783579,96.4889328536079,51,Indie,Cloudcade,Cloudcade
